X	Y
0	21.502
1	21.455
2	21.474
3	21.464
4	21.564
5	21.543
6	21.557
7	21.556
8	21.620
9	21.574
10	21.621
11	21.533
12	21.595
13	21.505
14	21.728
15	21.534
16	21.596
17	21.631
18	21.706
19	21.666
20	21.620
21	21.792
22	21.688
23	21.699
24	21.747
25	21.721
26	21.759
27	21.796
28	21.799
29	21.716
30	21.801
31	21.816
32	21.784
33	21.871
34	21.835
35	21.949
36	21.883
37	21.940
38	21.959
39	21.956
40	21.914
41	22.024
42	21.971
43	21.987
44	21.979
45	22.067
46	22.060
47	22.083
48	22.037
49	22.169
50	22.182
51	22.152
52	22.147
53	22.118
54	22.261
55	22.197
56	22.217
57	22.350
58	22.214
59	22.232
60	22.389
61	22.329
62	22.412
63	22.290
64	22.358
65	22.529
66	22.479
67	22.510
68	22.606
69	22.605
70	22.539
71	22.669
72	22.691
73	22.741
74	22.836
75	22.971
76	22.802
77	22.866
78	23.009
79	22.982
80	23.098
81	23.151
82	23.192
83	23.262
84	23.162
85	23.435
86	23.395
87	23.352
88	23.550
89	23.609
90	23.519
91	23.712
92	23.769
93	23.803
94	23.863
95	23.893
96	23.990
97	24.083
98	24.162
99	24.225
100	24.224
101	24.308
102	24.352
103	24.387
104	24.585
105	24.640
106	24.624
107	24.599
108	24.725
109	24.854
110	24.782
111	24.834
112	24.838
113	24.869
114	24.968
115	24.982
116	25.059
117	25.075
118	25.215
119	25.117
120	25.215
121	25.164
122	25.251
123	25.173
124	25.326
125	25.402
126	25.297
127	25.459
128	25.412
129	25.377
130	25.407
131	25.422
132	25.480
133	25.525
134	25.697
135	25.630
136	25.642
137	25.671
138	25.658
139	25.598
140	25.635
141	25.699
142	25.708
143	25.675
144	25.722
145	25.808
146	25.802
147	25.795
148	25.787
149	26.026
150	25.816
151	25.928
152	25.953
153	25.916
154	25.942
155	25.995
156	26.032
157	26.122
158	25.965
159	25.978
160	25.956
161	25.974
162	26.082
163	25.908
164	26.001
165	26.085
166	25.998
167	26.028
168	26.038
169	26.045
170	25.912
171	26.078
172	26.043
173	26.068
174	26.070
175	26.015
176	26.153
177	25.996
178	26.191
179	26.175
180	26.151
181	26.272
182	26.193
183	26.230
184	26.309
185	26.174
186	26.250
187	26.329
188	26.413
189	26.447
190	26.501
191	26.396
192	26.560
193	26.584
194	26.538
195	26.756
196	26.725
197	26.799
198	26.831
199	26.939
200	26.903
201	27.005
202	27.066
203	27.048
