X	Y
0	46.095
1	46.072
2	46.201
3	46.199
4	46.136
5	46.124
6	46.130
7	46.148
8	46.148
9	46.203
10	46.131
11	46.132
12	46.146
13	46.121
14	46.146
15	46.216
16	46.226
17	46.188
18	46.118
19	46.283
20	46.216
21	46.228
22	46.210
23	46.258
24	46.221
25	46.182
26	46.180
27	46.157
28	46.307
29	46.161
30	46.194
31	46.263
32	46.185
33	46.305
34	46.283
35	46.252
36	46.252
37	46.175
38	46.253
39	46.300
40	46.327
41	46.247
42	46.263
43	46.318
44	46.303
45	46.261
46	46.304
47	46.235
48	46.466
49	46.381
50	46.423
51	46.444
52	46.474
53	46.369
54	46.520
55	46.440
56	46.546
57	46.466
58	46.554
59	46.547
60	46.542
61	46.546
62	46.603
63	46.663
64	46.735
65	46.686
66	46.635
67	46.770
68	46.844
69	46.804
70	46.787
71	46.891
72	46.828
73	46.933
74	46.975
75	47.066
76	47.048
77	46.988
78	47.034
79	47.117
80	47.139
81	47.137
82	47.160
83	47.267
84	47.253
85	47.294
86	47.413
87	47.334
88	47.440
89	47.440
90	47.424
91	47.546
92	47.525
93	47.498
94	47.603
95	47.675
96	47.544
97	47.680
98	47.723
99	47.742
100	47.741
101	47.852
102	47.761
103	47.830
104	47.860
105	47.815
106	47.861
107	47.822
108	47.845
109	47.895
110	47.934
111	47.949
112	47.884
113	47.967
114	47.980
115	47.966
116	47.969
117	48.035
118	48.034
119	47.990
120	48.008
121	47.999
122	47.947
123	48.088
124	48.095
125	48.007
126	48.145
127	47.966
128	48.027
129	48.051
130	48.018
131	48.084
132	48.025
133	47.997
134	48.034
135	48.094
136	48.112
137	48.016
138	47.960
139	48.121
140	48.110
141	47.993
142	47.928
143	48.058
144	47.969
145	47.988
146	47.900
147	47.970
148	48.001
149	47.844
150	47.856
151	47.898
152	47.827
153	47.804
154	47.823
155	47.913
156	47.793
157	47.835
158	47.830
159	47.828
160	47.719
161	47.755
162	47.687
163	47.661
164	47.633
165	47.680
166	47.568
167	47.561
168	47.569
169	47.596
170	47.496
171	47.515
172	47.521
173	47.474
174	47.505
175	47.387
176	47.414
177	47.447
178	47.296
179	47.394
180	47.426
181	47.323
182	47.362
183	47.360
184	47.337
185	47.244
186	47.196
187	47.152
188	47.257
189	47.261
190	47.297
191	47.156
192	47.245
193	47.172
194	47.221
195	47.188
196	47.134
197	47.236
198	47.095
199	47.197
200	47.211
201	47.163
202	47.154
203	47.159
204	47.151
205	47.176
206	47.208
207	47.267
208	47.218
209	47.145
210	47.229
211	47.258
212	47.302
213	47.264
214	47.228
215	47.316
216	47.341
217	47.320
218	47.435
219	47.388
220	47.318
221	47.428
222	47.422
223	47.612
224	47.456
225	47.507
226	47.506
227	47.614
228	47.550
229	47.678
230	47.689
231	47.716
232	47.786
233	47.822
234	47.812
235	47.924
236	47.848
237	47.933
238	47.873
239	47.989
240	48.074
241	48.082
242	48.095
243	48.259
244	48.190
245	48.216
246	48.230
247	48.307
248	48.349
249	48.308
250	48.433
251	48.538
252	48.583
253	48.508
254	48.463
255	48.508
256	48.531
257	48.439
258	48.566
259	48.645
260	48.582
261	48.726
262	48.671
263	48.706
264	48.670
265	48.659
266	48.745
267	48.775
268	48.754
269	48.715
270	48.786
271	48.814
272	48.894
273	48.685
274	48.878
275	48.865
276	48.796
277	48.802
278	48.813
279	48.858
280	48.936
281	48.849
282	48.770
283	48.893
284	48.864
285	48.808
286	48.716
287	48.873
288	48.810
289	48.723
290	48.821
291	48.914
292	48.765
293	48.831
294	48.807
295	48.798
296	48.778
297	48.670
298	48.694
299	48.853
300	48.672
301	48.693
302	48.705
303	48.686
304	48.698
305	48.586
306	48.531
307	48.560
308	48.571
309	48.640
310	48.514
311	48.529
312	48.435
313	48.360
314	48.386
315	48.372
316	48.286
317	48.290
318	48.232
319	48.225
320	48.199
321	48.145
322	48.139
323	48.167
324	48.158
325	48.085
326	47.994
327	47.943
328	48.005
329	47.886
330	47.888
331	47.854
332	47.734
333	47.790
334	47.830
335	47.791
336	47.772
337	47.790
338	47.636
339	47.686
340	47.715
341	47.609
342	47.556
343	47.597
344	47.581
345	47.541
346	47.525
347	47.543
348	47.531
349	47.512
350	47.512
351	47.590
352	47.604
353	47.536
354	47.566
355	47.658
356	47.587
357	47.646
358	47.668
359	47.762
360	47.682
361	47.638
362	47.635
363	47.766
364	47.823
365	47.873
366	47.843
367	47.946
368	48.028
369	48.081
370	48.089
371	48.128
372	48.114
373	48.217
374	48.237
375	48.425
376	48.410
377	48.527
378	48.658
379	48.751
380	48.889
381	48.952
382	48.988
383	49.276
384	49.314
385	49.378
386	49.473
387	49.681
388	49.764
389	49.998
390	49.992
391	50.236
392	50.356
393	50.423
394	50.556
395	50.800
396	50.830
397	51.099
398	51.087
399	51.222
400	51.395
401	51.462
402	51.540
403	51.755
404	51.951
405	52.071
406	52.076
407	52.236
408	52.315
409	52.475
410	52.546
411	52.533
412	52.668
413	52.800
414	52.829
415	52.871
416	52.886
417	52.891
418	53.046
419	53.155
420	53.226
421	53.265
422	53.187
423	53.209
424	53.203
425	53.155
426	53.335
427	53.443
428	53.465
429	53.333
430	53.414
431	53.404
432	53.428
433	53.441
434	53.400
435	53.437
436	53.432
437	53.404
438	53.452
439	53.500
440	53.377
441	53.350
442	53.322
443	53.348
444	53.315
445	53.342
446	53.316
447	53.267
448	53.336
449	53.234
450	53.101
451	53.082
452	53.031
453	53.062
454	53.078
455	52.921
456	53.014
457	52.877
458	52.862
459	52.833
460	52.689
461	52.598
462	52.498
463	52.389
464	52.440
465	52.231
466	52.130
467	51.949
468	52.008
469	51.877
470	51.575
471	51.620
472	51.536
473	51.229
474	51.200
475	51.091
476	50.971
477	50.735
478	50.658
479	50.514
480	50.529
481	50.274
482	50.162
483	50.017
484	49.929
485	49.646
486	49.595
487	49.544
488	49.420
489	49.298
490	49.143
491	49.085
492	49.077
493	48.878
494	48.792
495	48.733
496	48.520
497	48.517
498	48.477
499	48.537
500	48.414
501	48.414
502	48.273
503	48.220
504	48.237
505	48.105
506	48.153
507	48.111
508	48.097
509	48.038
510	48.040
511	48.031
512	48.011
513	47.955
514	47.954
515	47.848
516	47.924
517	47.832
518	47.874
519	47.826
520	47.904
521	47.944
522	47.894
523	48.013
524	48.010
525	47.974
526	47.929
527	48.018
528	48.101
529	48.007
530	48.160
531	48.237
532	48.151
533	48.211
534	48.289
535	48.386
536	48.418
537	48.490
538	48.562
539	48.744
540	48.807
541	48.920
542	48.991
543	48.949
544	49.078
545	49.225
546	49.321
547	49.375
548	49.504
549	49.690
550	49.789
551	49.912
552	50.022
553	50.038
554	50.220
555	50.284
556	50.398
557	50.443
558	50.528
559	50.597
560	50.777
561	50.787
562	50.807
563	50.952
564	50.958
565	50.990
566	51.101
567	51.182
568	51.123
569	51.071
570	51.153
571	51.265
572	51.247
573	51.279
574	51.221
575	51.274
576	51.427
577	51.316
578	51.287
579	51.411
580	51.430
581	51.379
582	51.293
583	51.395
584	51.418
585	51.361
586	51.468
587	51.487
588	51.386
589	51.377
590	51.566
591	51.547
592	51.513
593	51.494
594	51.604
595	51.501
596	51.544
597	51.493
598	51.495
599	51.448
600	51.451
601	51.503
602	51.455
603	51.522
604	51.549
605	51.481
606	51.453
607	51.450
608	51.479
609	51.379
610	51.408
611	51.466
612	51.378
613	51.337
614	51.202
615	51.166
616	51.130
617	51.095
618	51.103
619	51.068
620	50.991
621	50.980
622	50.814
623	50.718
624	50.677
625	50.656
626	50.530
627	50.406
628	50.303
629	50.164
630	50.103
631	49.954
632	49.909
633	49.724
634	49.619
635	49.580
636	49.408
637	49.336
638	49.183
639	49.040
640	49.032
641	48.955
642	48.711
643	48.828
644	48.622
645	48.584
646	48.481
647	48.511
648	48.386
649	48.317
650	48.397
651	48.264
652	48.240
653	48.173
654	48.126
655	48.120
656	47.995
657	48.037
658	48.069
659	48.017
660	48.017
661	47.960
662	47.927
663	48.007
664	47.906
665	47.908
666	47.929
667	47.958
668	47.985
669	47.971
670	48.006
671	48.000
672	47.996
673	48.120
674	48.110
675	48.178
676	48.359
677	48.235
678	48.352
679	48.648
680	48.722
681	48.966
682	49.155
683	49.508
684	49.917
685	50.405
686	51.014
687	51.700
688	52.567
689	53.466
690	54.546
691	55.974
692	57.350
693	58.968
694	61.018
695	63.081
696	65.218
697	67.621
698	70.287
699	73.171
700	75.994
701	78.966
702	81.986
703	85.119
704	88.138
705	91.099
706	93.827
707	96.728
708	99.459
709	101.815
710	104.005
711	106.108
712	108.057
713	109.641
714	111.340
715	112.753
716	113.843
717	114.931
718	115.950
719	116.666
720	117.280
721	117.813
722	118.229
723	119.040
724	119.215
725	119.456
726	119.755
727	120.100
728	120.524
729	120.843
730	120.928
731	121.289
732	121.648
733	121.966
734	122.093
735	122.227
736	122.155
737	122.690
738	122.713
739	122.946
740	123.026
741	123.236
742	123.340
743	123.462
744	123.434
745	123.621
746	123.693
