X	Y
0	4.5345
1	4.4757
2	4.4832
3	4.4879
4	4.4543
5	4.4226
6	4.4160
7	4.4291
8	4.3713
9	4.3927
10	4.3731
11	4.3675
12	4.3200
13	4.3675
14	4.3284
15	4.3125
16	4.3013
17	4.3106
18	4.2938
19	4.2743
20	4.2733
21	4.2593
22	4.2537
23	4.2444
24	4.2584
25	4.2463
26	4.2612
27	4.2547
28	4.2547
29	4.2295
30	4.2388
31	4.2575
32	4.2351
33	4.2360
34	4.2472
35	4.2248
36	4.2733
37	4.2491
38	4.2836
39	4.2547
40	4.2565
41	4.2379
42	4.2556
43	4.2519
44	4.2808
45	4.2826
46	4.2677
47	4.2687
48	4.2892
49	4.3162
50	4.3069
51	4.3246
52	4.3265
53	4.3573
54	4.3218
55	4.3293
56	4.4011
57	4.3965
58	4.3890
59	4.4664
60	4.4450
61	4.4207
62	4.5215
63	4.4440
64	4.4739
65	4.5289
66	4.5784
67	4.5914
68	4.6194
69	4.6427
70	4.6521
71	4.6530
72	4.6922
73	4.7631
74	4.7416
75	4.7715
76	4.8321
77	4.8517
78	4.8657
79	4.9114
80	4.9646
81	4.9907
82	5.0177
83	5.0709
84	5.0914
85	5.1175
86	5.1707
87	5.2006
88	5.2332
89	5.3022
90	5.2976
91	5.3302
92	5.3993
93	5.4310
94	5.4832
95	5.5476
96	5.5588
97	5.6110
98	5.6595
99	5.7929
100	5.8060
101	5.8545
102	5.9207
103	5.9692
104	6.0504
105	6.0933
106	6.1875
107	6.2155
108	6.3153
109	6.3778
110	6.4627
111	6.4729
112	6.5951
113	6.6828
114	6.7556
115	6.8097
116	6.9142
117	6.9674
118	7.0243
119	7.0905
120	7.1707
121	7.2323
122	7.2826
123	7.3284
124	7.4011
125	7.4039
126	7.4925
127	7.4963
128	7.5345
129	7.5550
130	7.6371
131	7.6222
132	7.6493
133	7.6735
134	7.7174
135	7.7071
136	7.6950
137	7.7108
138	7.7444
139	7.7397
140	7.7304
141	7.7724
142	7.7556
143	7.6847
144	7.6884
145	7.6940
146	7.6726
147	7.6045
148	7.6716
149	7.6483
150	7.5728
151	7.5448
152	7.5280
153	7.5289
154	7.4422
155	7.4160
156	7.3825
157	7.3153
158	7.2836
159	7.2267
160	7.1866
161	7.0774
162	7.0448
163	6.9440
164	6.9049
165	6.8284
166	6.7743
167	6.6325
168	6.6175
169	6.5308
170	6.4412
171	6.3470
172	6.2547
173	6.2276
174	6.0905
175	6.0504
176	5.9412
177	5.9011
178	5.8386
179	5.7696
180	5.7295
181	5.6604
182	5.5662
183	5.4776
184	5.4478
185	5.3815
186	5.2920
187	5.2481
188	5.2323
189	5.1511
190	5.1222
191	5.1175
192	5.0093
193	5.0000
194	4.9366
195	4.9524
196	4.8787
197	4.8573
198	4.8442
199	4.7910
200	4.7743
201	4.7547
202	4.6950
203	4.6931
204	4.6819
205	4.6800
206	4.6334
207	4.6381
208	4.5989
209	4.5821
210	4.5737
211	4.5364
212	4.5065
213	4.4935
214	4.4991
215	4.5009
216	4.4851
217	4.4841
218	4.4506
219	4.4394
220	4.4431
221	4.4188
222	4.4058
223	4.3834
224	4.4151
225	4.3657
226	4.3983
227	4.3433
228	4.3853
229	4.3414
230	4.3442
231	4.3274
232	4.3134
233	4.3162
234	4.3218
235	4.3526
236	4.3116
237	4.3228
238	4.3116
239	4.3573
240	4.3237
241	4.3106
242	4.3209
243	4.3209
244	4.3302
245	4.3293
246	4.3647
247	4.3694
248	4.3629
249	4.3666
250	4.4076
251	4.3983
252	4.4254
253	4.4142
254	4.4823
255	4.4468
256	4.4412
257	4.4599
258	4.5112
259	4.5345
260	4.5364
261	4.5476
262	4.5756
263	4.6147
264	4.6437
265	4.6595
266	4.7071
267	4.7239
268	4.7593
269	4.7929
270	4.8134
271	4.8507
272	4.8563
273	4.8918
274	4.9440
275	4.9515
276	4.9963
277	5.0737
278	5.0522
279	5.1539
280	5.1315
281	5.2015
282	5.2808
283	5.3097
284	5.3862
285	5.4804
286	5.4991
287	5.5802
288	5.6213
289	5.6558
290	5.8041
291	5.8414
292	5.9282
293	6.0131
294	6.0597
295	6.1362
296	6.1950
297	6.2537
298	6.3302
299	6.4086
300	6.4580
301	6.5019
302	6.5326
303	6.5681
304	6.6269
305	6.6726
306	6.7043
307	6.6847
308	6.7183
309	6.6978
310	6.7612
311	6.7603
312	6.7351
313	6.7528
314	6.7621
315	6.7836
316	6.7976
317	6.7556
318	6.7584
319	6.7360
320	6.7136
321	6.7379
322	6.7332
323	6.7108
324	6.6763
325	6.6493
326	6.6688
327	6.6129
328	6.6418
329	6.6082
330	6.6119
331	6.5522
332	6.4897
333	6.4776
334	6.4478
335	6.4039
336	6.4123
337	6.3722
338	6.2948
339	6.2976
340	6.2435
341	6.1744
342	6.2024
343	6.1250
344	6.1063
345	6.0560
346	6.0000
347	5.9580
348	5.9039
349	5.8535
350	5.8442
351	5.7892
352	5.7892
353	5.7593
354	5.7146
355	5.7071
356	5.6604
357	5.5979
358	5.6054
359	5.6063
360	5.6418
361	5.5821
362	5.5933
363	5.5840
364	5.5970
365	5.6073
366	5.6026
367	5.6493
368	5.6455
369	5.6754
370	5.6772
371	5.7164
372	5.7677
373	5.8246
374	5.8190
375	5.8703
376	5.9310
377	5.9664
378	6.0056
379	6.0756
380	6.1054
381	6.1549
382	6.1968
383	6.2463
384	6.3535
385	6.4170
386	6.4534
387	6.5336
388	6.6390
389	6.7136
390	6.7603
391	6.8097
392	6.9552
393	7.0662
394	7.1063
395	7.2024
396	7.2547
397	7.3330
398	7.5065
399	7.5196
400	7.6604
401	7.7407
402	7.8554
403	7.9562
404	8.0746
405	8.1474
406	8.2211
407	8.3638
408	8.4496
409	8.5905
410	8.7034
411	8.7817
412	8.9543
413	9.0877
414	9.2351
415	9.3498
416	9.5765
417	9.7080
418	9.9058
419	10.0868
420	10.2929
421	10.4664
422	10.6959
423	10.8955
424	11.1017
425	11.3498
426	11.5868
427	11.7957
428	12.0205
429	12.3741
430	12.6119
431	12.9804
432	13.2659
433	13.6390
434	14.0103
435	14.3050
436	14.6278
437	15.0560
438	15.3293
439	15.6810
440	16.0326
441	16.4524
442	16.9076
443	17.2715
444	17.8078
445	18.2873
446	18.8116
447	19.3713
448	19.9795
449	20.6241
450	21.3181
451	22.0494
452	22.7789
453	23.6493
454	24.5429
455	25.4347
456	26.3853
457	27.4720
458	28.5065
459	29.6782
460	30.8069
461	32.2351
462	33.6493
463	35.0382
464	36.3778
465	37.8237
466	39.4832
467	41.1847
468	42.7957
469	44.5149
470	45.9674
471	47.3853
472	48.6726
473	49.8629
474	50.8843
475	51.7575
476	52.4160
477	52.9291
478	53.4002
479	53.6119
480	53.7799
481	54.0597
482	54.0951
483	54.1474
484	54.1744
485	54.2118
486	54.2108
487	54.1875
488	54.1035
489	54.0261
490	53.9300
491	53.8041
492	53.6101
493	53.3657
494	53.2519
495	53.0056
496	52.7267
497	52.4002
498	52.2565
499	51.8312
500	51.5121
501	51.1222
502	50.7052
503	50.2761
504	49.7808
505	49.2705
506	48.6744
507	48.0606
508	47.4468
509	46.7248
510	45.9179
511	45.0140
512	44.2444
513	43.3349
514	42.3414
515	41.2575
516	40.0112
517	38.9142
518	37.5196
519	36.1007
520	34.7687
521	33.2808
522	31.8134
523	30.4058
524	29.0438
525	27.6045
526	26.2360
527	25.0373
528	23.8218
529	22.6772
530	21.7444
531	20.8834
532	20.1978
533	19.5168
534	18.9440
535	18.4935
536	18.0028
537	17.6166
538	17.3293
539	17.1175
540	16.8862
541	16.7313
542	16.5709
543	16.4226
544	16.3004
545	16.1810
546	16.0868
547	15.9487
548	15.9021
549	15.8144
550	15.7444
551	15.6791
552	15.5970
553	15.5625
554	15.5522
555	15.4664
556	15.4104
557	15.4608
558	15.3918
559	15.3050
560	15.3909
561	15.3946
562	15.3759
563	15.3722
564	15.3535
565	15.4636
566	15.4440
567	15.4366
568	15.4608
569	15.5075
570	15.5830
571	15.6157
572	15.6950
573	15.7444
574	15.7994
575	15.9216
576	15.9748
577	16.0513
578	16.1931
579	16.2771
580	16.3769
581	16.4991
582	16.6493
583	16.7416
584	16.9450
585	17.0625
586	17.2435
587	17.3871
588	17.5299
589	17.7108
590	17.9468
591	18.1147
592	18.3545
593	18.5924
594	18.8433
595	19.1259
596	19.3713
597	19.7099
598	19.9160
599	20.2024
600	20.5550
601	20.8955
602	21.2267
603	21.6353
604	22.0112
605	22.4198
606	22.8321
607	23.2108
608	23.7304
609	24.1315
610	24.6549
611	25.1651
612	25.7649
613	26.3004
614	27.0252
615	27.6203
616	28.2668
617	29.0140
618	29.5812
619	30.3853
620	31.0840
621	31.7799
622	32.6110
623	33.4580
624	34.4356
625	35.3535
626	36.5364
627	37.6502
628	39.0410
629	40.5672
630	42.2034
631	44.2090
632	46.5494
633	49.2043
634	52.1147
635	55.2892
636	58.4263
637	62.0056
638	65.3638
639	68.7836
640	72.4076
641	75.8340
642	78.9785
643	81.9832
644	84.6455
645	87.3153
646	89.4478
647	91.5401
648	93.4142
649	94.9636
650	96.3573
651	97.2845
652	98.4021
653	99.2248
654	100.0336
655	100.3955
656	100.9188
657	101.2854
658	101.5896
659	101.8134
660	101.8722
661	101.9002
662	101.9067
663	101.9188
664	101.8153
665	101.6353
666	101.3853
667	101.2146
668	100.9282
669	100.5476
670	100.3004
671	99.9860
672	99.2966
673	98.9552
674	98.3647
675	97.7407
676	97.1642
677	96.4319
678	95.6819
679	94.8629
680	93.8769
681	92.9925
682	92.1213
683	90.8769
684	89.6250
685	88.2957
686	86.8022
687	85.0224
688	82.8190
689	80.4692
690	77.8974
691	74.8815
692	71.6875
693	68.4049
694	65.0560
695	61.8843
696	58.5476
697	55.3918
698	52.1791
699	49.0840
700	46.3321
701	43.6586
702	41.3703
703	39.1604
704	37.2649
705	35.5457
706	34.0606
707	32.6325
708	31.4841
709	30.4608
710	29.4263
711	28.6241
712	27.8172
713	27.1203
714	26.3993
715	25.7705
716	25.2556
717	24.7276
718	24.2547
719	23.8806
720	23.4282
721	23.1082
722	22.7323
723	22.3955
724	22.1493
725	21.8358
726	21.5177
727	21.2789
728	21.0009
729	20.7901
730	20.5140
731	20.3302
732	20.1194
733	19.8946
734	19.7080
735	19.5252
736	19.3004
737	19.1427
738	18.9608
739	18.7976
740	18.6446
741	18.4879
742	18.3545
743	18.1576
744	18.0830
745	17.9608
746	17.8498
747	17.6884
748	17.5979
749	17.5233
750	17.4375
751	17.3013
752	17.2491
753	17.1203
754	17.0840
755	16.9860
756	16.9030
757	16.8507
