X	Y
0	181.447
1	183.872
2	183.325
3	178.405
4	170.033
5	157.870
6	143.435
7	126.830
8	110.936
9	96.151
10	84.141
11	74.954
12	67.567
13	61.999
14	58.445
15	56.570
16	54.391
17	52.121
18	50.546
19	49.800
20	49.364
21	50.124
22	51.626
23	52.795
24	54.056
25	54.964
26	56.327
27	58.971
28	62.473
29	65.738
30	69.930
31	75.010
32	81.816
33	90.418
34	101.084
35	115.486
36	132.692
37	150.959
38	167.217
39	177.216
40	179.906
41	178.898
42	181.591
43	181.814
44	180.011
45	180.972
46	179.610
47	179.554
48	181.903
49	184.122
50	185.369
51	183.202
52	175.880
53	165.233
54	152.076
55	137.007
56	121.485
57	106.461
58	93.161
59	82.186
60	73.522
61	66.767
62	61.892
63	58.931
64	57.174
65	55.655
66	53.404
67	51.676
68	50.843
69	50.436
70	51.767
71	52.901
72	54.187
73	55.119
74	56.854
75	58.896
76	61.622
77	64.103
78	66.886
79	70.420
80	74.585
81	80.363
82	87.901
83	98.210
84	111.645
85	129.784
86	149.481
87	166.670
88	177.484
89	181.021
90	180.928
91	182.440
92	182.121
93	180.510
94	180.764
95	179.417
96	179.841
97	182.576
98	184.976
99	184.809
100	180.113
101	171.725
102	160.066
103	145.811
104	129.711
105	114.185
106	99.538
107	86.991
108	77.421
109	69.994
110	64.275
111	60.265
112	57.692
113	56.336
114	54.848
115	53.415
116	52.294
117	51.517
118	51.611
119	53.028
120	54.044
121	54.724
122	55.939
123	58.012
124	60.563
125	62.918
126	65.905
127	69.384
128	73.978
129	79.151
130	86.153
131	95.201
132	107.312
133	122.796
134	140.965
135	158.473
136	172.259
137	178.384
138	178.412
139	179.089
140	181.388
141	178.140
142	177.271
143	179.126
144	179.361
145	180.107
146	180.312
147	179.500
148	175.784
149	169.656
150	159.967
151	146.918
152	131.572
153	116.167
154	101.193
155	88.880
156	78.546
157	70.661
158	64.601
159	60.443
160	57.692
161	56.160
162	54.811
163	53.679
164	52.807
165	51.831
166	51.445
167	52.534
168	53.478
169	54.142
170	55.140
171	57.031
172	59.550
173	62.345
174	65.202
175	69.284
176	74.480
177	81.138
178	89.778
179	100.551
180	113.310
181	127.225
182	141.984
183	156.954
184	168.475
185	176.710
186	180.509
187	181.953
188	183.034
189	181.656
190	179.853
191	180.785
192	179.734
193	179.428
194	180.853
195	182.224
196	182.147
197	178.927
198	171.219
199	159.621
200	145.699
201	130.348
202	115.141
203	101.289
204	89.578
205	79.965
206	72.238
207	66.320
208	62.129
209	58.851
210	57.148
211	56.119
212	55.521
213	54.424
214	53.153
215	53.258
216	53.993
217	54.605
218	55.058
219	56.313
220	58.359
221	60.694
222	63.151
223	65.798
224	69.760
225	73.847
226	78.632
227	85.540
228	94.667
229	106.146
230	120.812
231	137.340
232	154.446
233	167.743
234	173.855
235	176.741
236	177.149
237	177.438
238	178.255
239	176.667
240	176.144
241	176.723
242	178.551
243	179.465
244	176.343
245	171.928
246	164.911
247	154.149
248	140.408
249	124.866
250	109.430
251	95.490
252	84.116
253	75.038
254	68.115
255	63.048
256	59.702
257	57.634
258	56.450
259	55.798
260	55.228
261	54.573
262	53.817
263	53.715
264	54.490
265	55.118
266	55.498
267	56.788
268	58.633
269	60.673
270	62.761
271	65.754
272	69.175
273	73.815
274	79.171
275	86.775
276	96.358
277	109.002
278	125.559
279	144.009
280	161.353
281	175.463
282	180.970
283	180.644
284	180.308
285	181.773
286	179.545
287	176.879
288	178.289
289	179.232
290	180.480
291	180.703
292	180.176
293	177.624
294	171.546
295	160.340
296	144.408
297	126.492
298	109.819
299	95.642
300	84.580
301	75.608
302	68.973
303	63.362
304	60.285
305	58.028
306	56.505
307	56.123
308	55.875
309	55.589
310	54.604
311	54.557
312	54.965
313	55.868
314	56.308
315	57.485
316	59.408
317	61.972
318	64.561
319	67.252
320	70.783
321	75.007
322	80.063
323	86.891
324	95.414
325	106.016
326	119.888
327	136.618
328	154.099
329	169.960
330	179.827
331	181.597
332	181.198
333	181.938
334	179.967
335	177.712
336	179.681
337	181.314
338	180.799
339	182.671
340	182.552
341	180.521
342	175.611
343	165.067
344	150.431
345	133.315
346	116.228
347	101.012
348	89.146
349	80.015
350	72.648
351	66.291
352	62.206
353	59.705
354	57.943
355	56.947
356	56.507
357	56.693
358	55.740
359	55.046
360	55.307
361	55.676
362	56.343
363	56.802
364	58.248
365	60.924
366	63.319
367	66.009
368	69.716
369	73.943
370	78.539
371	85.511
372	94.007
373	104.802
374	118.332
375	134.435
376	150.894
377	166.550
378	176.468
379	179.330
380	178.638
381	178.965
382	180.548
383	178.658
384	176.176
385	180.408
386	182.483
387	181.863
388	182.066
389	179.963
390	174.815
391	165.920
392	153.235
393	137.953
394	120.900
395	105.204
396	91.897
397	81.185
398	72.711
399	66.378
400	61.922
401	59.074
402	57.067
403	55.752
404	55.592
405	55.311
406	55.626
407	55.816
408	55.844
409	56.410
410	56.995
411	57.728
412	59.891
413	62.258
414	65.174
415	68.128
416	71.264
417	75.340
418	79.829
419	85.942
420	94.000
421	103.956
422	115.937
423	130.520
424	147.382
425	163.840
426	177.612
427	185.371
428	185.875
429	184.498
430	185.302
431	183.696
432	180.672
433	182.799
434	182.802
435	182.852
436	185.819
437	188.703
438	186.341
439	175.239
