X	Y
0	15.2718
1	15.2171
2	15.2375
3	15.2523
4	15.2171
5	15.2746
6	15.2328
7	15.1985
8	15.2263
9	15.2328
10	15.2217
11	15.2458
12	15.2727
13	15.2199
14	15.2885
15	15.2532
16	15.2189
17	15.2338
18	15.2440
19	15.2236
20	15.2829
21	15.2161
22	15.2477
23	15.1818
24	15.1855
25	15.2347
26	15.2347
27	15.2208
28	15.2430
29	15.2245
30	15.2338
31	15.2217
32	15.2041
33	15.2570
34	15.2412
35	15.1957
36	15.2273
37	15.2217
38	15.2171
39	15.1772
40	15.2161
41	15.2078
42	15.1725
43	15.2087
44	15.2161
45	15.2282
46	15.2171
47	15.2143
48	15.1763
49	15.2078
50	15.2180
51	15.2282
52	15.1865
53	15.2022
54	15.1985
55	15.1790
56	15.1967
57	15.1512
58	15.2050
59	15.1976
60	15.2022
61	15.1892
62	15.2226
63	15.1586
64	15.1651
65	15.1883
66	15.1930
67	15.1651
68	15.1781
69	15.2004
70	15.1865
71	15.1892
72	15.1698
73	15.2032
74	15.1994
75	15.1494
76	15.2032
77	15.1688
78	15.1605
79	15.1651
80	15.1345
81	15.1401
82	15.2032
83	15.2180
84	15.1735
85	15.1623
86	15.1568
87	15.1243
88	15.1503
89	15.1391
90	15.1855
91	15.1512
92	15.1456
93	15.1456
94	15.1633
95	15.1252
96	15.1132
97	15.1364
98	15.1558
99	15.1354
100	15.1596
101	15.1336
102	15.1391
103	15.1215
104	15.1660
105	15.1364
106	15.1540
107	15.0900
108	15.1095
109	15.1002
110	15.1141
111	15.0965
112	15.1020
113	15.0835
114	15.1002
115	15.1364
116	15.1030
117	15.1058
118	15.0974
119	15.1150
120	15.0955
121	15.1215
122	15.1113
123	15.1410
124	15.1095
125	15.1280
126	15.1178
127	15.0705
128	15.0649
129	15.0622
130	15.1169
131	15.0622
132	15.0928
133	15.1002
134	15.0918
135	15.0714
136	15.0983
137	15.0965
138	15.0724
139	15.0742
140	15.0779
141	15.0863
142	15.0751
143	15.0946
144	15.0594
145	15.0881
146	15.0603
147	15.0798
148	15.0686
149	15.0594
150	15.0640
151	15.0102
152	15.0343
153	15.0427
154	15.0686
155	15.0213
156	15.0371
157	15.0074
158	15.0529
159	15.0111
160	15.0353
161	15.0288
162	15.0464
163	15.0399
164	14.9954
165	15.0575
166	15.0260
167	15.0102
168	14.9954
169	14.9972
170	15.0204
171	15.0278
172	15.0037
173	15.0083
174	15.0046
175	14.9657
176	15.0315
177	15.0083
178	14.9898
179	14.9898
180	14.9805
181	14.9833
182	15.0297
183	14.9638
184	15.0130
185	14.9944
186	14.9378
187	14.9787
188	14.9499
189	14.9610
190	14.9814
191	14.9657
192	14.9944
193	15.0111
194	14.9620
195	14.9388
196	14.9750
197	14.9740
198	14.9935
199	15.0009
200	14.9360
201	14.9573
202	14.9629
203	14.9443
204	14.9490
205	14.9731
206	14.9508
207	14.9406
208	14.9137
209	14.9610
210	14.9212
211	14.9054
212	14.9063
213	14.9314
214	14.9481
215	14.9035
216	14.9351
217	14.9425
218	14.9109
219	14.8887
220	14.9119
221	14.9425
222	14.9063
223	14.9304
224	14.9045
225	14.9666
226	14.9156
227	14.9221
228	14.9147
229	14.9471
230	14.9202
231	14.8980
232	14.9239
233	14.9174
234	14.8868
235	14.8729
236	14.9258
237	14.8933
238	14.9508
239	14.9063
240	14.8952
241	14.9035
242	14.9239
243	14.9397
244	14.9128
245	14.9416
246	14.9425
247	14.9082
248	14.9230
249	14.9174
250	14.9239
251	14.8497
252	14.9221
253	14.9063
254	14.9063
255	14.9481
256	14.8748
257	14.9174
258	14.9239
259	14.9518
260	14.9369
261	14.9332
262	14.8915
263	14.9128
264	14.9378
265	14.8933
266	14.8766
267	14.9184
268	14.9147
269	14.9156
270	14.9045
271	14.9230
272	14.8803
273	14.9128
274	14.9239
275	14.9091
276	14.9007
277	14.9017
278	14.9045
279	14.8553
280	14.9276
281	14.9109
282	14.9109
283	14.8562
284	14.8952
285	14.9406
286	14.8720
287	14.9221
288	14.8980
289	14.9082
290	14.8980
291	14.8831
292	14.8785
293	14.8525
294	14.8831
295	14.8822
296	14.8609
297	14.8942
298	14.8664
299	14.9035
300	14.8525
301	14.8562
302	14.8451
303	14.8256
304	14.8571
305	14.8386
306	14.8052
307	14.8108
308	14.8822
309	14.8340
310	14.8349
311	14.8284
312	14.8228
313	14.8293
314	14.8145
315	14.8145
316	14.8284
317	14.7978
318	14.8089
319	14.8404
320	14.7774
321	14.8135
322	14.7829
323	14.7792
324	14.7672
325	14.7588
326	14.7876
327	14.7783
328	14.7523
329	14.7690
330	14.7505
331	14.7579
332	14.7263
333	14.7672
334	14.7171
335	14.7143
336	14.7319
337	14.7523
338	14.7115
339	14.6976
340	14.6874
341	14.7375
342	14.7301
343	14.6930
344	14.7059
345	14.6976
346	14.6855
347	14.7319
348	14.6763
349	14.7004
350	14.6939
351	14.6855
352	14.6725
353	14.6744
354	14.6605
355	14.6800
356	14.6827
357	14.6698
358	14.6299
359	14.6976
360	14.6957
361	14.5881
362	14.6698
363	14.6410
364	14.6345
365	14.5993
366	14.6883
367	14.6456
368	14.6289
369	14.6206
370	14.6299
371	14.6484
372	14.6336
373	14.6234
374	14.5761
375	14.6911
376	14.6512
377	14.6558
378	14.6633
379	14.6494
380	14.6772
381	14.6586
382	14.6623
383	14.6605
384	14.6855
385	14.6985
386	14.7078
387	14.7301
388	14.7579
389	14.7393
390	14.8210
391	14.7829
392	14.8701
393	14.8887
394	14.9035
395	14.9351
396	15.0167
397	15.0510
398	15.1299
399	15.1642
400	15.2217
401	15.2968
402	15.3488
403	15.3989
404	15.4907
405	15.5427
406	15.6262
407	15.6837
408	15.7681
409	15.8247
410	15.8970
411	15.9592
412	16.0269
413	16.1095
414	16.1447
415	16.1790
416	16.2625
417	16.3061
418	16.3803
419	16.4212
420	16.4824
421	16.5223
422	16.5529
423	16.5807
424	16.6818
425	16.6540
426	16.7282
427	16.8089
428	16.8738
429	16.8952
430	16.9490
431	17.0056
432	17.0455
433	17.0909
434	17.1531
435	17.2124
436	17.2699
437	17.3534
438	17.3506
439	17.3887
440	17.4861
441	17.5167
442	17.6299
443	17.6558
444	17.6883
445	17.8451
446	17.8673
447	17.9128
448	17.9406
449	18.0427
450	18.1113
451	18.1410
452	18.1642
453	18.2208
454	18.2737
455	18.3711
456	18.3998
457	18.4388
458	18.5334
459	18.5872
460	18.6085
461	18.7069
462	18.7356
463	18.7866
464	18.8794
465	18.9147
466	18.9852
467	19.0158
468	19.0464
469	19.1345
470	19.2087
471	19.3145
472	19.2588
473	19.3636
474	19.3850
475	19.4648
476	19.5510
477	19.6224
478	19.6725
479	19.7421
480	19.7468
481	19.8191
482	19.8729
483	19.9239
484	19.9378
485	20.0352
486	20.1308
487	20.1568
488	20.1651
489	20.2217
490	20.3108
491	20.3942
492	20.3813
493	20.4685
494	20.5186
495	20.6160
496	20.6596
497	20.7310
498	20.7495
499	20.8006
500	20.8664
501	20.9304
502	20.9564
503	21.0315
504	21.0751
505	21.1401
506	21.1967
507	21.2941
508	21.3191
509	21.3840
510	21.4128
511	21.4555
512	21.5566
513	21.6419
514	21.6521
515	21.6484
516	21.7616
517	21.7570
518	21.8757
519	21.9490
520	21.9731
521	22.0352
522	22.0436
523	22.1447
524	22.2087
525	22.2662
526	22.3135
527	22.3636
528	22.4314
529	22.4648
530	22.5325
531	22.5705
532	22.6558
533	22.6716
534	22.7505
535	22.8423
536	22.8711
537	22.9091
538	22.9935
539	23.0436
540	23.0881
541	23.1085
542	23.1902
543	23.2737
544	23.3340
545	23.3924
546	23.4119
547	23.4861
548	23.5455
549	23.5900
550	23.6429
551	23.7625
552	23.7699
553	23.8108
554	23.9072
555	23.9156
556	24.0306
557	24.0167
558	24.1039
559	24.1725
560	24.2032
561	24.2421
562	24.2922
563	24.3813
564	24.4072
565	24.5009
566	24.5501
567	24.5891
568	24.6466
569	24.7245
570	24.8108
571	24.8145
572	24.8915
573	24.9119
574	25.0464
575	25.0538
576	25.0983
577	25.1939
578	25.1957
579	25.2727
580	25.3414
581	25.4369
582	25.4443
583	25.4787
584	25.6224
585	25.6243
586	25.7384
587	25.8033
588	25.8173
589	25.8813
590	25.9481
591	26.0093
592	26.0213
593	26.1549
594	26.1429
595	26.2801
596	26.2885
597	26.4573
598	26.3989
599	26.4917
600	26.5399
601	26.6002
602	26.6837
603	26.7022
604	26.7727
605	26.8544
606	26.8970
607	26.9267
608	26.9638
609	27.0288
610	27.1002
611	27.1410
612	27.2551
613	27.3275
614	27.2950
615	27.4332
616	27.4675
617	27.5000
618	27.5779
619	27.5844
620	27.6707
621	27.7152
622	27.7894
623	27.7746
624	27.8738
625	27.9490
626	27.9434
627	27.9796
628	28.0325
629	28.1623
630	28.1327
631	28.2041
632	28.3126
633	28.3033
634	28.3599
635	28.4434
636	28.4193
637	28.5455
638	28.6336
639	28.6419
640	28.6883
641	28.7161
642	28.7635
643	28.8126
644	28.8711
645	28.9137
646	29.0584
647	29.0352
648	29.0557
649	29.1095
650	29.1920
651	29.2319
652	29.2931
653	29.2968
654	29.3673
655	29.4017
656	29.4304
657	29.5566
658	29.6215
659	29.6503
660	29.6308
661	29.7774
662	29.7551
663	29.8302
664	29.8720
665	29.9165
666	29.9861
667	30.0668
668	30.0863
669	30.0371
670	30.1837
671	30.2078
672	30.2356
673	30.3302
674	30.2931
675	30.3970
676	30.4221
677	30.5278
678	30.5390
679	30.5501
680	30.6540
681	30.6521
682	30.7774
683	30.7291
684	30.8469
685	30.8312
686	30.9768
687	30.9434
688	30.9759
689	31.1150
690	31.1141
691	31.1447
692	31.1688
693	31.2384
694	31.3015
695	31.3451
696	31.3627
697	31.3840
698	31.4722
699	31.4740
700	31.5510
701	31.6002
702	31.6781
703	31.6614
704	31.7477
705	31.7866
706	31.8135
707	31.8284
708	31.8581
709	31.9323
710	31.9842
711	31.9972
712	32.0390
713	32.0946
714	32.1364
715	32.2365
716	32.1930
717	32.2412
718	32.2876
719	32.3247
720	32.3488
721	32.4805
722	32.4787
723	32.5241
724	32.6716
725	32.6484
726	32.7115
727	32.6892
728	32.7013
729	32.8024
730	32.8683
731	32.8813
732	32.9360
733	32.9564
734	33.0594
735	33.0297
736	33.0677
737	33.1558
738	33.1568
739	33.1902
740	33.2597
741	33.3377
742	33.3627
743	33.3942
744	33.4490
745	33.5334
746	33.5084
747	33.5584
748	33.5993
749	33.6447
750	33.7161
751	33.7171
752	33.7959
753	33.8757
754	33.8609
755	33.9193
756	33.9369
757	34.0102
758	34.0538
759	34.0816
760	34.1317
761	34.1679
762	34.2143
763	34.3200
764	34.3367
765	34.3469
766	34.3813
767	34.3497
768	34.4369
769	34.4545
770	34.6020
771	34.6141
772	34.6262
773	34.6994
774	34.6484
775	34.7365
776	34.8210
777	34.8488
778	34.8664
779	34.8878
780	34.9100
781	35.0724
782	35.0668
783	35.1197
784	35.1020
785	35.2171
786	35.2440
787	35.2458
788	35.3330
789	35.3673
790	35.3905
791	35.4035
792	35.4508
793	35.5334
794	35.5612
795	35.6642
796	35.6401
797	35.6512
798	35.7013
799	35.8312
800	35.8794
801	35.9276
802	35.8803
803	35.9388
804	35.9026
805	35.9907
806	36.0575
807	36.0705
808	36.1150
809	36.1354
810	36.2115
811	36.2681
812	36.2532
813	36.3219
814	36.3117
815	36.4267
816	36.3933
817	36.4852
818	36.4647
819	36.4564
820	36.5315
821	36.6234
822	36.6707
823	36.6466
824	36.6827
825	36.7690
826	36.7904
827	36.8265
828	36.8581
829	36.8970
830	36.9861
831	37.0241
832	36.9564
833	37.0696
834	37.1020
835	37.1670
836	37.1911
837	37.3080
838	37.2458
839	37.3015
840	37.3349
841	37.3562
842	37.3961
843	37.4239
844	37.5501
845	37.5427
846	37.6262
847	37.6271
848	37.6874
849	37.6827
850	37.6772
851	37.8200
852	37.8145
853	37.9156
854	37.9026
855	37.8683
856	38.0037
857	37.9852
858	37.9620
859	38.0306
860	38.0946
861	38.1568
862	38.1790
863	38.1827
864	38.2876
865	38.2996
866	38.3312
867	38.3089
868	38.4100
869	38.5093
870	38.4360
871	38.5315
872	38.5872
873	38.5900
874	38.6466
875	38.6994
876	38.6373
877	38.7737
878	38.8265
879	38.7848
880	38.8664
881	38.8581
882	38.8729
883	38.9035
884	39.0362
885	39.0380
886	39.0779
887	39.1067
888	39.1354
889	39.2356
890	39.1503
891	39.2468
892	39.3145
893	39.3358
894	39.3887
895	39.4147
896	39.4499
897	39.4740
898	39.5074
899	39.5909
900	39.5111
901	39.5631
902	39.6364
903	39.6967
904	39.6781
905	39.7134
906	39.8544
907	39.7542
908	39.8237
909	39.8859
910	39.8701
911	39.9963
912	40.0204
913	40.0186
914	39.9573
915	40.0761
916	40.0622
917	40.1855
918	40.2096
919	40.2996
920	40.2440
921	40.3896
922	40.3330
923	40.4017
