X	Y
0	0.0018519
1	0.0009259
2	0.0018519
3	0.0046296
4	0.0037037
5	0.0027778
6	0.0018519
7	0.0037037
8	0.0027778
9	0.0018519
10	0.0055556
11	0.0000000
12	0.0018519
13	0.0018519
14	0.0027778
15	0.0009259
16	0.0037037
17	0.0009259
18	0.0027778
19	0.0018519
20	0.0018519
21	0.0009259
22	0.0018519
23	0.0018519
24	0.0018519
25	0.0000000
26	0.0000000
27	0.0009259
28	0.0018519
29	0.0000000
30	0.0046296
31	0.0092593
32	0.0009259
33	0.0018519
34	0.0018519
35	0.0018519
36	0.0018519
37	0.0046296
38	0.0009259
39	0.0018519
40	0.0009259
41	0.0037037
42	0.0000000
43	0.0000000
44	0.0046296
45	0.0037037
46	0.0018519
47	0.0009259
48	0.0027778
49	0.0018519
50	0.0037037
51	0.0027778
52	0.0000000
53	0.0027778
54	0.0018519
55	0.0018519
56	0.0046296
57	0.0009259
58	0.0009259
59	0.0018519
60	0.0018519
61	0.0037037
62	0.0037037
63	0.0000000
64	0.0037037
65	0.0018519
66	0.0018519
67	0.0018519
68	0.0027778
69	0.0018519
70	0.0009259
71	0.0009259
72	0.0009259
73	0.0000000
74	0.0046296
75	0.0009259
76	0.0009259
77	0.0009259
78	0.0027778
79	0.0027778
80	0.0027778
81	0.0018519
82	0.0055556
83	0.0018519
84	0.0009259
85	0.0009259
86	0.0037037
87	0.0000000
88	0.0009259
89	0.0009259
90	0.0000000
91	0.0027778
92	0.0000000
93	0.0009259
94	0.0018519
95	0.0009259
96	0.0009259
97	0.0000000
98	0.0000000
99	0.0018519
100	0.0000000
101	0.0000000
102	0.0037037
103	0.0009259
104	0.0000000
105	0.0027778
106	0.0009259
107	0.0046296
108	0.0009259
109	0.0000000
110	0.0009259
111	0.0000000
112	0.0000000
113	0.0009259
114	0.0018519
115	0.0009259
116	0.0000000
117	0.0009259
118	0.0009259
119	0.0009259
120	0.0018519
121	0.0000000
122	0.0000000
123	0.0018519
124	0.0027778
125	0.0009259
126	0.0000000
127	0.0000000
128	0.0027778
129	0.0000000
130	0.0018519
131	0.0000000
132	0.0000000
133	0.0027778
134	0.0027778
135	0.0027778
136	0.0018519
137	0.0009259
138	0.0018519
139	0.0037037
140	0.0027778
141	0.0037037
142	0.0009259
143	0.0009259
144	0.0000000
145	0.0037037
146	0.0027778
147	0.0027778
148	0.0000000
149	0.0000000
150	0.0009259
151	0.0000000
152	0.0009259
153	0.0009259
154	0.0018519
155	0.0018519
156	0.0055556
157	0.0027778
158	0.0046296
159	0.0000000
160	0.0027778
161	0.0018519
162	0.0027778
163	0.0000000
164	0.0018519
165	0.0009259
166	0.0018519
167	0.0018519
168	0.0027778
169	0.0027778
170	0.0009259
171	0.0018519
172	0.0000000
173	0.0037037
174	0.0000000
