X	Y
0	12.013036
1	12.001863
2	12.001863
3	12.023277
4	12.006517
5	11.998137
6	12.003724
7	12.008380
8	12.000000
9	12.040968
10	12.043761
11	12.036313
12	12.024209
13	12.016760
14	12.049348
15	12.008380
16	12.032588
17	12.028864
18	12.019553
19	12.027002
20	12.032588
21	12.001863
22	11.984171
23	12.013036
24	12.011173
25	12.043761
26	12.018622
27	12.038175
28	12.049348
29	12.047486
30	12.019553
31	12.024209
32	12.050280
33	12.034451
34	12.026071
35	12.059590
36	12.043761
37	12.005587
38	12.031657
39	12.013967
40	12.057728
41	12.027002
42	12.026071
43	12.009311
44	12.055866
45	12.028864
46	12.046555
47	12.084730
48	12.032588
49	12.039106
50	12.037244
51	12.031657
52	11.996276
53	12.030726
54	12.037244
55	12.044693
56	12.027933
57	12.035381
58	12.053073
59	12.024209
60	12.056797
61	12.027933
62	12.008380
63	12.034451
64	12.018622
65	12.067970
66	12.045624
67	12.024209
68	12.058660
69	12.023277
70	12.054935
71	12.041900
72	12.039106
73	12.055866
74	12.056797
75	12.033520
76	12.057728
77	12.034451
78	12.040037
79	12.037244
80	12.029795
81	12.053073
82	12.069833
83	12.060521
84	12.042830
85	12.028864
86	12.010242
87	12.040968
88	12.035381
89	12.098697
90	12.056797
91	12.031657
92	12.044693
93	12.033520
94	12.035381
95	12.071694
96	12.032588
97	12.063314
98	12.069833
99	12.049348
100	12.059590
101	12.041900
102	12.026071
103	12.080074
104	12.046555
105	12.069833
106	12.028864
107	12.055866
108	12.050280
109	11.982309
110	12.060521
111	12.038175
112	12.044693
113	12.046555
114	12.042830
115	12.081937
116	12.056797
117	12.034451
118	12.020484
119	12.050280
120	12.053073
121	12.022346
122	12.074488
123	12.020484
124	12.015829
125	12.052141
126	11.992551
127	12.032588
128	12.055866
129	12.048417
130	12.064246
131	12.013967
132	12.030726
133	12.001863
134	12.016760
135	12.047486
136	12.019553
137	12.001863
138	12.001863
139	12.033520
140	12.029795
141	12.033520
142	12.026071
143	12.007449
144	12.036313
145	12.019553
146	11.989758
147	12.047486
148	12.017691
149	11.962756
150	12.046555
151	12.007449
152	12.029795
153	12.014897
154	12.040037
155	12.022346
156	12.019553
157	11.996276
158	12.023277
159	12.013967
160	12.016760
161	12.003724
162	12.013036
163	12.020484
164	12.012104
165	12.033520
166	12.039106
167	12.007449
168	12.032588
169	12.016760
170	12.020484
171	12.032588
172	12.006517
173	11.969274
174	12.032588
175	11.993483
176	11.996276
177	12.022346
178	11.997207
179	12.021416
180	12.022346
181	12.001863
182	11.979516
183	12.016760
184	12.019553
185	12.027002
186	12.000931
187	11.962756
188	12.000000
189	12.012104
190	12.018622
191	12.010242
192	11.926443
193	12.020484
194	11.990689
195	12.024209
196	11.978584
197	11.977654
198	12.006517
199	12.009311
200	12.006517
201	11.985103
202	12.008380
203	12.015829
204	11.935754
205	12.038175
206	12.001863
207	11.977654
208	11.993483
209	11.981378
210	11.998137
211	12.029795
212	12.011173
213	11.984171
214	12.004656
215	11.981378
216	11.958100
217	11.980447
218	12.018622
219	12.004656
220	11.966480
221	11.986964
222	11.955307
223	11.989758
224	12.002793
225	12.001863
226	11.938547
227	12.006517
228	11.978584
229	11.979516
230	11.984171
231	12.000000
232	11.941340
233	11.980447
234	11.980447
235	11.994413
236	11.987896
237	12.000000
238	11.986033
239	12.007449
240	12.000000
241	11.983240
242	11.995344
243	12.009311
244	11.968343
245	11.984171
246	11.949720
247	11.988827
248	12.015829
249	11.956239
250	11.988827
251	12.022346
252	12.012104
253	11.945996
254	11.957170
255	11.951583
256	11.961825
257	11.987896
258	11.972998
259	11.961825
260	11.990689
261	11.972067
262	11.957170
263	11.998137
264	11.987896
265	11.948790
266	11.975791
267	12.007449
268	11.988827
269	11.996276
270	11.949720
271	12.001863
272	12.011173
273	11.960894
274	11.975791
275	11.963687
276	11.969274
277	12.004656
278	11.970205
279	11.930167
280	11.992551
281	11.933892
282	11.980447
