X	Y
0	14.819
1	14.818
2	14.839
3	14.823
4	14.789
5	14.839
6	14.831
7	14.792
8	14.827
9	14.829
10	14.841
11	14.818
12	14.850
13	14.815
14	14.845
15	14.860
16	14.859
17	14.857
18	14.902
19	14.841
20	14.871
21	14.865
22	14.853
23	14.854
24	14.854
25	14.878
26	14.865
27	14.883
28	14.857
29	14.871
30	14.884
31	14.834
32	14.897
33	14.877
34	14.909
35	14.898
36	14.877
37	14.901
38	14.880
39	14.881
40	14.917
41	14.892
42	14.901
43	14.868
44	14.908
45	14.864
46	14.885
47	14.908
48	14.877
49	14.868
50	14.890
51	14.919
52	14.922
53	14.938
54	14.929
55	14.939
56	14.912
57	14.949
58	14.932
59	14.965
60	14.911
61	14.906
62	14.965
63	14.933
64	14.914
65	14.942
66	14.965
67	14.925
68	14.955
69	14.947
70	14.914
71	14.949
72	14.930
73	14.913
74	14.954
75	14.941
76	14.935
77	14.937
78	14.968
79	14.922
80	14.986
81	14.971
82	14.958
83	14.943
84	14.985
85	14.931
86	14.959
87	14.930
88	14.990
89	14.953
90	14.943
91	14.988
92	14.989
93	14.940
94	14.993
95	14.961
96	14.987
97	14.981
98	14.957
99	14.960
100	14.969
101	14.976
102	14.996
103	14.998
104	14.958
105	15.003
106	15.030
107	14.958
108	14.962
109	14.982
110	15.021
111	14.960
112	14.994
113	14.963
114	15.005
115	15.016
116	14.981
117	14.998
118	14.968
119	14.998
120	14.969
121	15.019
122	14.981
123	15.004
124	15.037
125	15.016
126	15.020
127	15.007
128	15.048
129	15.011
130	15.032
131	15.047
132	15.028
133	14.994
134	14.991
135	15.013
136	15.020
137	15.025
138	15.024
139	15.039
140	14.982
141	15.067
142	15.009
143	15.034
144	15.028
145	15.036
146	15.017
147	15.013
148	15.018
149	15.028
150	15.027
151	15.049
152	15.033
153	15.039
154	15.045
155	15.010
156	15.019
157	15.030
158	15.016
159	15.045
160	15.028
161	14.999
162	15.029
163	15.054
164	15.010
165	15.057
166	15.045
167	15.013
168	15.031
169	15.081
170	15.068
171	15.048
172	15.049
173	15.056
174	15.032
175	15.040
176	15.064
177	15.043
178	15.066
179	15.059
180	15.026
181	15.086
182	15.038
183	15.037
184	15.061
185	15.019
186	15.048
187	15.045
188	15.066
189	15.045
190	15.080
191	15.067
192	15.064
193	15.056
194	15.090
195	15.059
196	15.055
197	15.104
198	15.077
199	15.078
200	15.055
201	15.087
202	15.080
203	15.098
204	15.055
205	15.051
206	15.072
207	15.070
208	15.068
209	15.058
210	15.076
211	15.078
212	15.083
213	15.097
214	15.083
215	15.113
216	15.119
217	15.107
218	15.032
219	15.048
220	15.096
221	15.117
222	15.071
223	15.076
224	15.069
225	15.094
226	15.142
227	15.080
228	15.109
229	15.048
230	15.060
231	15.071
232	15.088
233	15.149
234	15.110
235	15.099
236	15.071
237	15.141
238	15.086
239	15.091
240	15.121
241	15.099
242	15.121
243	15.096
244	15.145
245	15.103
246	15.136
247	15.116
248	15.129
249	15.089
250	15.108
251	15.090
252	15.112
253	15.158
254	15.111
255	15.101
256	15.122
257	15.154
258	15.115
259	15.126
260	15.126
261	15.134
262	15.143
263	15.109
264	15.130
265	15.148
266	15.135
267	15.131
268	15.119
269	15.154
270	15.163
271	15.141
272	15.146
273	15.204
274	15.147
275	15.149
276	15.133
277	15.154
278	15.156
279	15.190
280	15.148
281	15.109
282	15.186
283	15.139
284	15.180
285	15.182
286	15.192
287	15.170
288	15.184
289	15.179
290	15.182
291	15.194
292	15.194
293	15.220
294	15.175
295	15.203
296	15.220
297	15.194
298	15.202
299	15.215
300	15.194
301	15.229
302	15.175
303	15.210
304	15.212
305	15.229
306	15.210
307	15.268
308	15.211
309	15.272
310	15.247
311	15.222
312	15.249
313	15.263
314	15.228
315	15.237
316	15.233
317	15.227
318	15.202
319	15.266
320	15.264
321	15.258
322	15.239
323	15.250
324	15.276
325	15.296
326	15.277
327	15.261
328	15.256
329	15.235
330	15.276
331	15.273
332	15.251
333	15.270
334	15.300
335	15.285
336	15.292
337	15.271
338	15.303
339	15.255
340	15.306
341	15.333
342	15.371
343	15.382
344	15.333
345	15.354
346	15.378
347	15.385
348	15.402
349	15.365
350	15.445
351	15.429
352	15.430
353	15.444
354	15.452
355	15.474
356	15.433
357	15.435
358	15.411
359	15.453
360	15.467
361	15.483
362	15.502
363	15.501
364	15.494
365	15.495
366	15.496
367	15.511
368	15.525
369	15.532
370	15.561
371	15.532
372	15.545
373	15.545
374	15.522
375	15.575
376	15.530
377	15.521
378	15.596
379	15.581
380	15.610
381	15.605
382	15.593
383	15.593
384	15.607
385	15.597
386	15.599
387	15.589
388	15.602
389	15.582
390	15.583
391	15.579
392	15.594
393	15.619
394	15.580
395	15.584
396	15.593
397	15.583
398	15.581
399	15.566
400	15.591
401	15.540
402	15.591
403	15.574
404	15.564
405	15.553
406	15.590
407	15.574
408	15.556
409	15.570
410	15.539
411	15.537
412	15.551
413	15.543
414	15.565
415	15.545
416	15.569
417	15.545
418	15.573
419	15.545
420	15.557
421	15.591
422	15.557
423	15.574
424	15.592
425	15.604
426	15.613
427	15.634
428	15.622
429	15.644
430	15.653
431	15.638
432	15.702
433	15.673
434	15.700
435	15.761
436	15.726
437	15.755
438	15.775
439	15.759
440	15.776
441	15.795
442	15.824
443	15.832
444	15.898
445	15.900
446	15.920
447	15.984
448	16.025
449	16.053
450	16.091
451	16.118
452	16.144
453	16.201
454	16.205
455	16.270
456	16.320
457	16.366
458	16.417
459	16.424
460	16.519
461	16.560
462	16.571
463	16.584
464	16.663
465	16.715
466	16.820
467	16.857
468	16.929
469	16.968
470	17.071
471	17.114
472	17.145
473	17.256
474	17.290
475	17.368
476	17.424
477	17.501
478	17.553
479	17.609
480	17.714
481	17.753
482	17.885
483	17.954
484	18.032
485	18.135
486	18.259
487	18.342
488	18.405
489	18.514
490	18.615
491	18.750
492	18.873
493	18.937
494	19.074
495	19.197
496	19.360
497	19.545
498	19.628
499	19.785
500	19.933
501	20.116
502	20.264
503	20.486
