X,Y
0,67.903
1,67.123
2,65.675
3,65.061
4,64.658
5,65.470
6,66.807
7,69.740
8,73.816
9,79.589
10,88.468
11,99.701
12,111.190
13,127.052
14,145.656
15,164.993
16,185.262
17,204.277
18,221.353
19,234.147
20,242.790
21,246.433
22,246.835
23,245.392
24,240.348
25,227.452
26,210.965
27,193.106
28,173.113
29,152.292
30,132.680
31,116.403
32,102.286
33,90.431
34,82.234
35,75.766
36,71.749
37,69.121
38,67.195
39,66.950
40,67.333
41,68.143
42,69.292
43,70.236
44,70.823
45,71.673
46,71.907
47,71.149
48,70.652
49,69.043
50,67.857
51,67.714
52,67.506
53,68.775
54,70.801
55,73.725
56,78.957
57,85.714
58,95.584
59,107.037
60,122.870
61,139.442
62,157.519
63,177.271
64,197.398
65,215.370
66,230.227
67,240.439
68,245.879
69,247.894
70,247.461
71,244.647
72,235.946
73,224.842
74,206.344
75,187.905
76,168.242
77,148.788
78,130.258
79,114.156
80,100.820
81,90.175
82,82.242
83,76.405
84,72.195
85,69.662
86,68.426
87,68.113
88,68.431
89,69.506
90,70.617
91,71.970
92,72.632
93,72.861
94,72.067
95,71.816
96,70.881
97,69.965
98,69.132
99,68.364
100,68.045
101,68.933
102,71.383
103,74.203
104,80.545
105,87.712
106,96.905
107,109.489
108,124.868
109,141.978
110,162.457
111,182.699
112,203.978
113,223.976
114,237.942
115,246.370
116,250.786
117,252.602
118,252.580
119,251.234
120,247.065
121,236.368
122,219.394
123,199.195
124,178.346
125,157.844
126,139.268
127,119.846
128,105.426
129,94.299
130,85.162
131,78.602
132,73.522
133,70.853
134,68.916
135,68.452
136,68.729
137,69.600
138,71.197
139,71.907
140,72.173
141,72.970
142,73.102
143,72.102
144,71.745
145,70.610
146,69.654
147,68.976
148,68.195
149,68.946
150,70.630
151,73.370
152,77.994
153,84.335
154,92.818
155,103.565
156,117.076
157,133.708
158,151.993
159,171.452
160,192.121
161,210.931
162,226.768
163,237.665
164,244.039
165,247.405
166,246.221
167,243.303
168,236.848
169,225.251
170,207.498
171,188.803
172,168.574
173,147.723
174,129.188
175,112.924
176,99.459
177,89.606
178,81.981
179,76.069
180,72.119
181,70.312
182,68.723
183,69.203
184,69.563
185,70.924
186,72.104
187,72.835
188,73.177
189,73.550
190,73.331
191,72.011
192,71.149
193,70.442
194,69.496
195,68.983
196,68.494
197,69.545
198,71.963
199,75.351
200,81.093
201,88.152
202,98.147
203,109.335
204,124.658
205,142.126
206,161.327
207,182.621
208,202.344
209,222.214
210,236.857
211,246.143
212,250.435
213,252.665
214,252.576
215,251.784
216,245.985
217,237.206
218,218.597
219,198.831
220,177.948
221,157.165
222,136.673
223,119.238
224,105.000
225,92.879
226,84.818
227,77.853
228,72.957
229,70.636
230,68.857
231,68.745
232,68.788
233,70.519
234,71.102
235,71.898
236,72.721
237,73.000
238,72.725
239,71.784
240,71.026
241,70.461
242,69.502
243,68.729
244,68.833
245,69.768
246,71.297
247,74.970
248,79.946
249,85.491
250,95.576
251,106.409
252,121.175
253,137.771
254,157.398
255,177.864
256,197.567
257,217.463
258,234.903
259,245.511
260,251.582
261,252.920
262,253.604
263,253.141
264,251.961
265,247.288
266,237.710
267,220.442
268,200.275
269,178.056
270,159.024
271,139.035
272,122.180
273,107.745
274,95.985
275,86.582
276,79.903
277,74.623
278,71.530
279,69.994
280,68.654
281,69.212
282,69.314
283,70.136
284,71.266
285,71.775
286,72.855
287,72.797
288,72.089
289,72.139
290,70.580
291,70.152
292,69.158
293,68.991
294,69.208
295,69.957
296,72.413
297,76.032
298,81.000
299,88.751
300,98.180
301,110.894
302,125.597
303,142.677
304,162.558
305,183.965
306,203.608
307,221.948
308,234.963
309,242.957
310,246.387
311,247.199
312,246.448
313,243.426
314,236.219
315,221.431
316,202.396
317,182.119
318,160.247
319,140.682
320,122.561
321,106.749
322,94.545
323,85.147
324,78.708
325,74.011
326,70.591
327,69.636
328,68.554
329,68.781
330,69.403
331,70.238
332,71.571
333,72.680
334,72.794
335,72.329
336,72.494
337,71.009
338,70.820
339,69.660
340,68.509
341,68.823
342,69.390
343,70.983
344,73.994
345,78.961
346,85.413
347,93.104
348,104.299
349,117.526
350,134.541
351,153.420
352,173.825
353,194.619
354,213.275
355,232.983
356,245.043
357,250.831
358,252.734
359,253.613
360,253.610
361,252.502
362,248.578
363,239.866
364,224.273
365,203.264
366,183.900
367,162.710
368,141.528
369,123.582
370,108.084
371,95.201
372,86.433
373,79.223
374,74.361
375,71.223
376,69.340
377,68.515
378,68.647
379,69.478
380,69.939
381,71.286
382,72.171
383,72.498
384,72.100
385,72.069
386,71.344
387,69.885
388,69.675
389,68.606
390,68.719
391,68.604
392,70.504
393,73.379
394,77.552
395,83.372
396,89.946
397,100.383
398,113.439
399,127.387
400,145.251
401,164.920
402,185.266
403,205.167
404,223.905
405,237.695
406,245.905
407,249.342
408,249.790
409,249.885
410,248.587
411,244.286
412,235.091
413,218.645
414,199.281
415,177.747
416,157.931
417,137.190
418,120.338
419,105.643
420,93.935
421,85.268
422,78.511
423,73.517
424,70.693
425,68.747
426,68.688
427,68.463
428,69.076
429,70.433
430,72.028
431,72.113
432,72.474
433,72.753
434,72.132
435,71.333
436,70.212
437,69.442
438,68.957
439,68.626
440,69.444
441,71.227
442,74.240
443,78.939
444,85.277
445,95.613
446,106.610
447,121.911
448,139.835
449,159.165
450,179.740
451,200.368
452,220.126
453,235.682
454,244.452
455,248.279
456,249.699
457,250.455
458,247.487
459,240.918
460,227.758
461,209.825
462,188.803
463,168.262
464,146.976
465,127.600
466,111.292
467,98.216
468,88.569
469,80.764
470,74.931
471,71.212
472,68.907
473,68.236
474,68.045
475,68.420
476,69.833
477,71.201
478,71.738
479,72.597
480,72.335
481,72.634
482,71.983
483,71.294
484,69.578
485,69.325
486,68.387
487,68.290
488,68.994
489,71.390
490,75.325
491,79.048
492,86.097
493,96.290
494,108.054
495,122.797
496,139.342
497,159.351
498,179.493
499,201.613
500,222.024
501,237.442
502,248.275
503,251.481
504,252.522
505,252.190
506,250.619
507,243.727
508,230.223
509,210.126
510,189.905
511,167.745
512,147.463
513,128.390
514,112.387
515,98.028
516,87.524
517,79.848
518,74.097
519,70.855
520,68.924
521,67.961
522,68.236
523,69.082
524,70.294
525,71.452
526,71.814
527,72.760
528,72.383
529,72.139
530,71.461
531,70.647
532,69.299
533,68.805
534,68.805
535,68.816
536,70.069
537,72.361
538,75.935
539,81.623
540,88.418
541,99.076
542,110.675
543,126.411
544,143.420
545,163.658
546,182.208
547,203.716
548,223.909
549,238.931
550,247.578
551,251.515
552,252.998
553,253.455
554,252.853
555,248.829
556,241.348
557,225.156
558,205.260
559,183.273
560,162.364
561,141.918
562,123.418
563,108.299
564,95.634
565,86.203
566,78.905
567,74.106
568,70.591
569,69.039
570,67.933
571,68.193
572,68.242
573,70.052
574,70.887
575,71.539
576,71.502
577,71.463
578,71.136
579,70.690
580,70.413
581,69.074
582,68.448
583,67.407
584,68.703
585,69.699
586,72.413
587,75.238
588,81.677
589,88.903
590,99.069
591,111.747
592,127.177
593,146.507
594,166.736
595,186.859
596,207.939
597,226.864
598,239.887
599,247.961
600,251.621
601,252.216
602,251.777
603,248.184
604,239.779
605,222.758
606,203.621
607,181.872
608,161.238
609,139.316
610,120.013
611,104.773
612,92.764
613,83.338
614,77.054
615,72.043
616,69.831
617,68.236
618,67.442
619,68.011
620,69.154
621,70.106
622,70.874
623,71.619
624,71.351
625,71.310
626,70.840
627,70.271
628,68.929
629,68.535
630,68.320
631,68.175
632,68.634
633,70.887
634,73.335
635,78.074
636,83.526
637,91.623
638,101.903
639,114.716
640,129.355
641,147.318
642,166.405
643,187.459
644,208.167
645,225.530
646,238.797
647,247.132
648,250.422
649,251.896
650,251.998
651,250.877
652,246.779
653,237.548
654,220.385
655,199.758
656,177.965
657,156.758
658,136.929
659,120.483
660,104.712
661,93.058
662,85.149
663,77.905
664,72.972
665,70.232
666,68.476
667,67.318
668,67.444
669,67.779
670,68.506
671,69.580
672,70.400
673,70.905
674,70.775
675,70.816
676,69.755
677,69.387
678,68.351
679,67.496
680,67.524
681,67.639
682,68.868
683,70.294
684,73.950
685,78.275
686,84.548
687,92.719
688,103.742
689,116.539
690,132.234
691,150.110
692,168.931
693,189.424
694,208.981
695,225.682
696,238.699
697,244.524
698,247.123
699,247.165
700,246.145
701,241.760
702,231.058
703,215.407
704,194.723
705,174.141
706,154.048
707,133.478
708,116.606
709,102.431
710,91.271
711,82.690
712,76.812
713,72.175
714,68.987
715,67.812
716,67.483
717,68.089
718,68.134
719,69.026
720,69.892
721,70.370
722,70.288
723,70.589
724,70.084
725,69.628
726,68.848
727,67.361
728,67.517
729,66.976
730,67.701
731,68.498
732,71.006
733,74.035
734,78.524
735,84.281
736,92.699
737,103.461
738,116.543
739,131.734
740,149.110
741,169.604
742,189.314
743,208.855
744,225.784
745,238.002
746,245.266
747,249.565
748,250.255
749,249.641
750,245.288
751,236.087
752,220.524
753,200.383
754,179.831
755,157.738
756,138.043
757,120.554
758,104.600
759,92.258
760,82.885
761,76.400
762,71.874
763,68.981
764,67.039
765,66.998
766,67.173
767,67.766
768,68.829
769,69.264
770,70.290
771,70.195
772,70.623
773,70.063
774,69.206
775,68.325
776,67.578
777,66.909
778,67.431
779,67.736
780,69.201
781,72.539
782,76.050
783,82.011
784,89.524
785,99.316
786,110.576
787,125.216
788,142.400
789,161.303
790,181.344
791,199.433
792,216.677
793,232.593
794,242.019
795,247.619
796,249.708
797,248.829
798,246.186
799,238.184
800,225.370
801,206.284
802,187.591
803,166.885
804,145.316
805,126.764
806,111.379
807,97.742
808,87.351
809,79.632
810,73.699
811,70.398
812,68.054
813,66.634
814,66.444
815,66.994
816,67.522
817,68.225
818,69.024
819,69.587
820,69.827
821,70.095
822,68.983
823,68.816
824,68.009
825,67.238
826,66.641
827,66.697
828,67.874
829,69.543
830,71.981
